"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","CAPC1608X87N","75.3872mm","11.1632mm","75.3872mm","11.1632mm","74.5872mm","11.1632mm","T","0.00","100nF"
"C2","CAPC1608X87N","84.6582mm","13.2154mm","84.6582mm","13.2154mm","84.6582mm","12.4154mm","T","90.00","100nF"
"C3","CAPC1608X87N","80.716mm","19.8166mm","80.716mm","19.8166mm","81.516mm","19.8166mm","T","180.00","100nF"
"C4","CAPC5650X165N","73.3806mm","18.4128mm","73.3806mm","18.4128mm","70.7806mm","18.4128mm","T","360.00","1uF"
"C5","CAPC1608X87N","81.026mm","9.1694mm","81.026mm","9.1694mm","81.826mm","9.1694mm","T","180.00","100nF"
"C6","CAPC1608X87N","62.1029mm","36.6287mm","62.1029mm","36.6287mm","62.1029mm","35.8287mm","T","90.00","100nF"
"C7","CAPC1608X87N","69.0118mm","33.8328mm","69.0118mm","33.8328mm","69.8118mm","33.8328mm","T","180.00","100nF"
"C8","CAPC1608X87N","63.5762mm","31.2928mm","63.5762mm","31.2928mm","63.5762mm","32.0928mm","T","270.00","18nF"
"C9","CAPC1608X87N","65.1764mm","29.6926mm","65.1764mm","29.6926mm","65.1764mm","28.8926mm","T","90.00","22pF"
"C10","CAPC1608X87N","58.273mm","20.1563mm","58.273mm","20.1563mm","58.273mm","20.9563mm","T","270.00","100nF"
"C11","CAPC1608X87N","59.7408mm","37.4396mm","59.7408mm","37.4396mm","60.5408mm","37.4396mm","T","180.00","100nF"
"C12","CAPC1608X87N","59.7408mm","35.8245mm","59.7408mm","35.8245mm","60.5408mm","35.8245mm","T","180.00","1nF"
"C13","CAPC1608X87N","56.114mm","20.1545mm","56.114mm","20.1545mm","56.114mm","20.9545mm","T","270.00","100nF"
"C14","CAPC1608X87N","56.3324mm","35.8537mm","56.3324mm","35.8537mm","57.1324mm","35.8537mm","T","180.00","100nF"
"C15","CAPC1608X87N","56.3324mm","37.4539mm","56.3324mm","37.4539mm","57.1324mm","37.4539mm","T","180.00","100nF"
"C16","CAPC1608X87N","51.0444mm","24.7247mm","51.0444mm","24.7247mm","51.0444mm","23.9247mm","T","90.00","1nF"
"C17","CAPC1608X87N","52.67mm","24.7247mm","52.67mm","24.7247mm","52.67mm","25.5247mm","T","270.00","100nF"
"C18","CAPC1608X87N","49.0172mm","33.3861mm","49.0172mm","33.3861mm","49.8172mm","33.3861mm","T","180.00","100nF"
"C19","CAPC1608X87N","51.733mm","30.9731mm","51.733mm","30.9731mm","51.733mm","30.1731mm","T","90.00","100nF"
"C20","CAPC1608X87N","50.1602mm","30.9731mm","50.1602mm","30.9731mm","50.1602mm","31.7731mm","T","270.00","1nF"
"C21","CAPC1608X87N","52.358mm","35.8245mm","52.358mm","35.8245mm","51.558mm","35.8245mm","T","360.00","10pF"
"C22","CAPC1608X87N","51.3794mm","42.5809mm","51.3794mm","42.5809mm","50.5794mm","42.5809mm","T","360.00","100nF"
"C23","CAPC1608X87N","53.3654mm","17.3482mm","53.3654mm","17.3482mm","54.1654mm","17.3482mm","T","180.00","100pF"
"C24","CAPC1608X87N","46.0042mm","18.288mm","46.0042mm","18.288mm","46.0042mm","19.088mm","T","270.00","1nF"
"C25","CAPC1608X87N","44.4199mm","18.288mm","44.4199mm","18.288mm","44.4199mm","17.488mm","T","90.00","100nF"
"C26","CAPC1608X87N","40.0304mm","13.8684mm","40.0304mm","13.8684mm","39.2304mm","13.8684mm","T","360.00","100nF"
"C27","CAPC1608X87N","53.4416mm","13.716mm","53.4416mm","13.716mm","54.2416mm","13.716mm","T","180.00","100pF"
"C28","CAPC1608X87N","29.7748mm","26.67mm","29.7748mm","26.67mm","29.7748mm","25.87mm","T","90.00","100nF"
"C29","CAPC1608X87N","53.4416mm","12.0142mm","53.4416mm","12.0142mm","54.2416mm","12.0142mm","T","180.00","100pF"
"C30","CAPC1608X87N","47.5996mm","18.288mm","47.5996mm","18.288mm","47.5996mm","17.488mm","T","90.00","100nF"
"C31","CAPC1608X87N","31.7754mm","26.7173mm","31.7754mm","26.7173mm","31.7754mm","25.9173mm","T","90.00","39pF"
"C32","CAPC1608X87N","40.0304mm","11.7886mm","40.0304mm","11.7886mm","39.2304mm","11.7886mm","T","360.00","100nF"
"C33","CAPC1608X87N","24.4602mm","29.1557mm","24.4602mm","29.1557mm","23.6602mm","29.1557mm","T","360.00","220pF"
"C34","CAPC1608X87N","27.6726mm","26.7173mm","27.6726mm","26.7173mm","27.6726mm","25.9173mm","T","90.00","330pF"
"C35","CAPC1608X87N","24.4602mm","34.1087mm","24.4602mm","34.1087mm","23.6602mm","34.1087mm","T","360.00","220nF"
"C36","CAPC1608X87N","24.4602mm","32.4577mm","24.4602mm","32.4577mm","23.6602mm","32.4577mm","T","360.00","100nF"
"C37","CAPC1608X87N","24.4602mm","30.8067mm","24.4602mm","30.8067mm","23.6602mm","30.8067mm","T","360.00","100pF"
"C38","CAPC1608X87N","53.3654mm","8.5344mm","53.3654mm","8.5344mm","54.1654mm","8.5344mm","T","180.00","100pF"
"C39","CAPC1608X87N","19.5834mm","44.7891mm","19.5834mm","44.7891mm","18.7834mm","44.7891mm","T","360.00","100nF"
"C40","CAPMP3528X210N","23.5712mm","43.3159mm","23.5712mm","43.3159mm","23.5712mm","41.8659mm","T","90.00","10uF"
"C41","CAPC1608X87N","26.1874mm","42.3507mm","26.1874mm","42.3507mm","26.1874mm","41.5507mm","T","90.00","100nF"
"C42","CAPC1608X87N","19.5834mm","41.8909mm","19.5834mm","41.8909mm","18.7834mm","41.8909mm","T","360.00","100nF"
"C43","CAPC1608X87N","72.39mm","46.1518mm","72.39mm","46.1518mm","71.59mm","46.1518mm","T","360.00","100nF"
"C44","CAPC1608X87N","32.1564mm","37.7698mm","32.1564mm","37.7698mm","32.1564mm","38.5698mm","T","270.00","15pF"
"C45","CAPC1608X87N","29.7688mm","40.1663mm","29.7688mm","40.1663mm","30.5688mm","40.1663mm","T","180.00","100nF"
"C46","CAPC1608X87N","31.4706mm","42.6507mm","31.4706mm","42.6507mm","31.4706mm","43.4507mm","T","270.00","100nF"
"C47","CAPMP3528X210N","28.829mm","43.7096mm","28.829mm","43.7096mm","28.829mm","42.2596mm","T","90.00","10uF"
"C48","CAPC1608X87N","36.83mm","32.2971mm","36.83mm","32.2971mm","37.63mm","32.2971mm","T","180.00","100nF"
"C49","CAPC1608X87N","33.4772mm","43.7985mm","33.4772mm","43.7985mm","33.4772mm","44.5985mm","T","270.00","100nF"
"C50","CAPC1608X87N","33.2994mm","34.4932mm","33.2994mm","34.4932mm","33.2994mm","35.2932mm","T","270.00","100nF"
"C51","CAPC1608X87N","61.1886mm","46.228mm","61.1886mm","46.228mm","60.3886mm","46.228mm","T","360.00","100nF"
"C52","CAPC1608X87N","11.5316mm","42.4942mm","11.5316mm","42.4942mm","11.5316mm","41.6942mm","T","90.00","100nF"
"C53","CAPC2012X110N","58.928mm","-11.43mm","58.928mm","-11.43mm","58.928mm","-10.53mm","T","270.00","4.7nF"
"C54","CAPC3216X180N","21.1328mm","-12.1158mm","21.1328mm","-12.1158mm","21.1328mm","-10.6158mm","T","270.00","47uF"
"D1","DIOM5027X244N","78.8416mm","25.2094mm","78.8416mm","25.2094mm","78.8416mm","27.2594mm","T","270.00","ES1D"
"D2","DIOM5027X244N","74.7776mm","25.2094mm","74.7776mm","25.2094mm","74.7776mm","23.1594mm","T","90.00","ES1D"
"D3","SOT65P210X100-3N","73.2536mm","30.861mm","73.2536mm","30.861mm","72.6036mm","29.811mm","T","90.00","BAT64-04W"
"IC1","HV7360","80.01mm","14.3128mm","80.01mm","14.3128mm","82.01mm","11.0628mm","T","90.00","HV7360LA-G"
"IC2","SOT89","77.2922mm","32.542mm","77.2922mm","31.877mm","78.7922mm","33.842mm","T","270.00","MD0100N8-G"
"IC3","SOP64P600X175-20N","57.2008mm","31.1658mm","57.2008mm","31.1658mm","60.0808mm","33.8908mm","T","270.00","AD8331ARQZ"
"IC4","SOT95P280X100-6N","51.088mm","40.0917mm","51.088mm","40.0917mm","52.438mm","39.1417mm","T","180.00","MAX5383EUT+T"
"IC5","QFN50P300X300X80-17N-S175","29.972mm","31.8989mm","29.972mm","31.8989mm","29.222mm","30.3989mm","T","90.00","ADL5511ACPZ-R7"
"IC6","SOIC127P600X175-8N","46.9646mm","12.827mm","46.9646mm","12.827mm","48.8696mm","15.527mm","T","270.00","LMH6552MA/NOPB"
"IC7","SOP65P640X120-20N","77.851mm","43.8912mm","77.851mm","43.8912mm","74.926mm","40.9912mm","T","90.00","74AC541MTC"
"IC8","SOP65P780X200-28N","39.2684mm","38.4137mm","39.2684mm","38.4137mm","42.7684mm","34.1887mm","T","180.00","AD9220ARS"
"IC9","SOP65P640X120-20N","66.7034mm","43.942mm","66.7034mm","43.942mm","63.7784mm","41.042mm","T","90.00","74AC541MTC"
"IC10","PWS_RECOM_R05-100B","39.636mm","-12.2428mm","39.636mm","-12.2428mm","52.336mm","-19.8628mm","T","360.00","R05-100B"
"J1","AMPHENOL_132357-11","84.0993mm","33.6804mm","84.8868mm","33.6804mm","84.8868mm","33.6804mm","T","180.00","SMA"
"J2","PHOENIX_1803439","80.0608mm","-8.9154mm","80.0608mm","-8.9154mm","80.0608mm","-5.1054mm","T","270.00","Family"
"L1","INDC2012X105N","72.517mm","33.842mm","72.517mm","33.842mm","71.617mm","33.842mm","T","360.00","75R@100MHz"
"L2","INDC2012X105N","58.273mm","23.6851mm","58.273mm","23.6851mm","58.273mm","22.7851mm","T","90.00","75R@100MHz"
"L3","INDC2012X105N","59.921mm","40.6887mm","59.921mm","40.6887mm","59.921mm","39.7887mm","T","90.00","75R@100MHz"
"L4","INDC2012X105N","56.1254mm","23.6755mm","56.1254mm","23.6755mm","56.1254mm","22.7755mm","T","90.00","75R@100MHz"
"L5","INDC2012X105N","47.9424mm","25.5011mm","47.9424mm","25.5011mm","47.0424mm","25.5011mm","T","360.00","75R@100MHz"
"L6","INDC2012X105N","42.4991mm","18.3896mm","42.4991mm","18.3896mm","42.4991mm","19.2896mm","T","270.00","75R@100MHz"
"OSC1","SOT95P280X100-6N","14.478mm","41.5432mm","14.478mm","41.5432mm","13.128mm","42.4932mm","T","360.00","LTC6908HS6-2#TRPBF"
"P1","TRIM_BOURNS_3223W","63.7044mm","-12.065mm","63.7794mm","-12.065mm","64.9194mm","-13.465mm","T","90.00","5k"
"R1","RESC3216X65N","74.4728mm","13.9178mm","74.4728mm","13.9178mm","75.9228mm","13.9178mm","T","180.00","4k7"
"R2","RESC1608X55N","65.3034mm","26.2383mm","65.3034mm","26.2383mm","66.1034mm","26.2383mm","T","180.00","10k"
"R3","RESC1608X55N","63.4346mm","34.1227mm","63.4346mm","34.1227mm","62.6346mm","34.1227mm","T","360.00","280"
"R4","RESC1608X55N","60.0764mm","23.6851mm","60.0764mm","23.6851mm","60.0764mm","22.8851mm","T","90.00","100"
"R5","RESC1608X55N","65.3034mm","24.5619mm","65.3034mm","24.5619mm","66.1034mm","24.5619mm","T","180.00","10k"
"R6","RESC1608X55N","54.3106mm","23.6851mm","54.3106mm","23.6851mm","54.3106mm","22.8851mm","T","90.00","100"
"R7","RESC1608X55N","46.8328mm","38.5423mm","46.8328mm","38.5423mm","47.6328mm","38.5423mm","T","180.00","10k"
"R8","RESC1005X40N","49.3601mm","34.6815mm","49.3601mm","34.6815mm","48.8901mm","34.6815mm","T","0.00","11k"
"R9","RESC1608X55N","46.8328mm","40.0917mm","46.8328mm","40.0917mm","46.0328mm","40.0917mm","T","0.00","10k"
"R10","RESC1608X55N","50.9479mm","16.6116mm","50.9479mm","16.6116mm","50.9479mm","15.8116mm","T","90.00","1k07"
"R11","RESC1608X55N","41.6306mm","15.494mm","41.6306mm","15.494mm","42.4306mm","15.494mm","T","180.00","36"
"R12","RESC1608X55N","56.1292mm","16.9015mm","56.1292mm","16.9015mm","56.1292mm","17.7015mm","T","270.00","536"
"R13","RESC1608X55N","57.2008mm","14.1329mm","57.2008mm","14.1329mm","58.0008mm","14.1329mm","T","180.00","619"
"R14","RESC1608X55N","58.273mm","16.9015mm","58.273mm","16.9015mm","58.273mm","17.7015mm","T","270.00","536"
"R15","RESC1608X55N","28.9306mm","20.3454mm","28.9306mm","20.3454mm","28.1306mm","20.3454mm","T","360.00","75"
"R16","RESC1608X55N","41.6306mm","10.16mm","41.6306mm","10.16mm","42.4306mm","10.16mm","T","180.00","36"
"R17","RESC1608X55N","50.9256mm","9.2964mm","50.9256mm","9.2964mm","50.9256mm","10.0964mm","T","270.00","1k07"
"R18","RESC1608X55N","73.2028mm","43.0784mm","73.2028mm","43.0784mm","73.2028mm","42.2784mm","T","90.00","10k"
"R19","RESC1608X55N","30.222mm","36.1696mm","30.222mm","36.1696mm","30.222mm","35.3696mm","T","90.00","33"
"R20","RESC1608X55N","3.9418mm","51.2911mm","3.9418mm","51.2911mm","3.1418mm","51.2911mm","T","360.00","20k"
"R21","RESC1608X55N","3.9418mm","49.5554mm","3.9418mm","49.5554mm","3.1418mm","49.5554mm","T","360.00","27k4"
"R22","RESC1608X55N","3.9418mm","47.8197mm","3.9418mm","47.8197mm","3.1418mm","47.8197mm","T","360.00","40k2"
"R23","RESC1608X55N","3.9418mm","46.0841mm","3.9418mm","46.0841mm","3.1418mm","46.0841mm","T","360.00","100k"
"SW3","SW_TYCO_1571983-4","11.4554mm","48.6377mm","11.4554mm","48.6377mm","7.6554mm","50.5427mm","T","360.00","Switch"
"TR1","XFMR_MINI-CIRCUITS_KK81","30.3022mm","12.8524mm","30.3022mm","12.8524mm","36.3347mm","10.3124mm","T","90.00","1:1"
"P8","SAMTEC_TSW-123-07-L-D-LL","47.625mm","51.4475mm","46.355mm","51.435mm","19.685mm","50.165mm","B","360.00","Familly"
"P9","SAMTEC_TSW-123-07-L-D-LL","47.625mm","3.1875mm","46.355mm","3.175mm","19.685mm","1.905mm","B","360.00","Familly"
"TP8","NICOMATIC_C12000B","27.1272mm","36.4236mm","27.1272mm","36.4236mm","28.1272mm","36.4236mm","T","180.00","Test Point"
"TP7","NICOMATIC_C12000B","30.6324mm","18.2118mm","30.6324mm","18.2118mm","31.6324mm","18.2118mm","T","180.00","Test Point"
"TP6","NICOMATIC_C12000B","41.8592mm","8.1534mm","41.8592mm","8.1534mm","42.8592mm","8.1534mm","T","180.00","Test Point"
"TP5","NICOMATIC_C12000B","39.8272mm","18.5674mm","39.8272mm","18.5674mm","39.8272mm","19.5674mm","T","270.00","Test Point"
"TP1","NICOMATIC_C12000B","71.9328mm","26.2636mm","71.9328mm","26.2636mm","71.9328mm","25.2636mm","T","90.00","Test Point"
"TP3","NICOMATIC_C12000B","52.9892mm","20.1028mm","52.9892mm","20.1028mm","53.9892mm","20.1028mm","T","180.00","Test Point"
"TP2","NICOMATIC_C12000B","61.3156mm","20.0278mm","61.3156mm","20.0278mm","62.3156mm","20.0278mm","T","180.00","Test Point"
"TP4","NICOMATIC_C12000B","56.8198mm","40.3716mm","56.8198mm","40.3716mm","57.8198mm","40.3716mm","T","180.00","Test Point"
"C55","CAPMP3528X210N","16.9672mm","-12.1158mm","16.9672mm","-12.1158mm","16.9672mm","-13.5658mm","T","90.00","10uF"
"Jumper1","SULLINS_GRPB031VWVN","47.6328mm","28.9306mm","47.6328mm","27.6606mm","47.6328mm","27.6606mm","T","90.00","Family"
"Jumper2","SULLINS_GRPB031VWVN","37.8206mm","45.8978mm","39.0906mm","45.8978mm","39.0906mm","45.8978mm","T","180.00","Family"
"IC11","SOT95P280X145-5N","71.501mm","-4.8087mm","71.501mm","-4.8087mm","70.201mm","-3.8586mm","T","360.00","SN74LVC1G14DBVR"
"LD1","LED_OSRAM_LGL29K","77.6268mm","-19.05mm","77.6268mm","-19.05mm","78.4268mm","-19.05mm","T","180.00","Green"
"R24","RESC1608X55N","74.401mm","-19.05mm","74.401mm","-19.05mm","73.601mm","-19.05mm","T","360.00","160"
"C56","CAPC1608X87N","74.8284mm","-4.6563mm","74.8284mm","-4.6563mm","74.8284mm","-3.8563mm","T","270.00","100nF"
"TP9","NICOMATIC_C12000B","40.64mm","27.3304mm","40.64mm","27.3304mm","41.64mm","27.3304mm","T","180.00","Test Point"
"L7","INDC2012X105N","41.3512mm","31.7246mm","41.3512mm","31.7246mm","42.2512mm","31.7246mm","T","180.00","75R@100MHz"
"L8","INDC2012X105N","36.0172mm","29.616mm","36.0172mm","29.616mm","36.0172mm","30.516mm","T","270.00","75R@100MHz"
"TP10","NICOMATIC_C12000B","58.928mm","-17.0688mm","58.928mm","-17.0688mm","58.928mm","-18.0688mm","T","90.00","Test Point"

